total_cases,total_deaths,total_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,iso_code,continent
247551408.0,2030312.0,0.0,1376648035.0,522614478.0,499356575.0,358706096.0,OWID_EUR,0
183609099.0,1212181.0,0.0,937751079.0,338179622.0,328303429.0,279551062.0,OWID_EUN,0
34658.0,28.0,777845.0,103894.0,41715.0,40895.0,21284.0,FRO,Europe
1930.0,0.0,0.0,4407.0,2632.0,1775.0,0.0,FLK,South America
68876.0,883.0,558519.0,1552809.0,711809.0,640882.0,170903.0,FJI,Oceania
1461583.0,8859.0,11038890.0,13190968.0,4524360.0,4347892.0,4318716.0,FIN,Europe
39636047.0,164860.0,278234000.0,154273360.0,54656220.0,53164425.0,47534921.0,FRA,Europe
77957.0,649.0,0.0,502352.0,190908.0,186203.0,112237.0,PYF,Oceania
48981.0,306.0,1599902.0,572672.0,311040.0,257378.0,2589.0,GAB,Africa
12586.0,372.0,155686.0,1444492.0,934799.0,454639.0,31322.0,GMB,Africa
1822045.0,16950.0,13652505.0,2930677.0,1654504.0,1276173.0,80818.0,GEO,Asia
38043874.0,167491.0,131286804.0,192081320.0,64871648.0,63557917.0,64713905.0,DEU,Europe
171160.0,1462.0,2465238.0,22384226.0,12853113.0,9806758.0,3102301.0,GHA,Africa
20420.0,111.0,533268.0,132810.0,42175.0,41465.0,49170.0,GIB,Europe
5548487.0,34779.0,84483362.0,22107213.0,7933785.0,7644209.0,7107931.0,GRC,Europe
11971.0,21.0,0.0,79738.0,41227.0,38511.0,0.0,GRL,North America
19680.0,238.0,169195.0,90507.0,44180.0,38975.0,7352.0,GRD,North America
0.0,0.0,323516.0,0.0,0.0,0.0,0.0,GUM,Oceania
1234475.0,20159.0,4067775.0,20187207.0,8902589.0,7087781.0,4196837.0,GTM,North America
0.0,0.0,0.0,178525.0,54223.0,52710.0,69339.0,GGY,Europe
38267.0,467.0,708410.0,8749048.0,6087292.0,3293736.0,223977.0,GIN,Africa
8953.0,176.0,142948.0,673091.0,640393.0,404228.0,745.0,GNB,Africa
73062.0,1298.0,442695.0,960133.0,495285.0,381984.0,82864.0,GUY,South America
34143.0,860.0,206594.0,515718.0,406534.0,238352.0,0.0,HTI,North America
430087720.0,2864283.0,0.0,2799883544.0,997805037.0,934571247.0,826440229.0,OWID_HIC,0
471557.0,11109.0,0.0,17101012.0,6506092.0,5802612.0,4813249.0,HND,North America
2876106.0,13447.0,49426686.0,20681138.0,6913617.0,6795647.0,6971874.0,HKG,Asia
2194102.0,48738.0,10943720.0,16701238.0,6420813.0,6207249.0,4316982.0,HUN,Europe
208999.0,238.0,1373785.0,805469.0,309770.0,290193.0,250542.0,ISL,Europe
44686483.0,530762.0,858526354.0,2206320683.0,1027368035.0,951866629.0,227086019.0,IND,Asia
6734606.0,160892.0,59503735.0,444303130.0,203657535.0,172693321.0,67952274.0,IDN,Asia
721.0,15.0,0.0,0.0,0.0,0.0,0.0,OWID_INT,0
7567161.0,144817.0,52269202.0,157785811.0,65159767.0,58544482.0,31352288.0,IRN,Asia
2465545.0,25375.0,19002710.0,19557364.0,11332925.0,7944775.0,275280.0,IRQ,Asia
1702523.0,8629.0,12347313.0,11110555.0,4107865.0,4060430.0,3183463.0,IRL,Europe
38008.0,116.0,0.0,189994.0,69560.0,67106.0,53328.0,IMN,Europe
4795621.0,12256.0,51780014.0,18641551.0,6722469.0,6158768.0,5760314.0,ISR,Asia
25547414.0,187850.0,224876148.0,143764010.0,50875943.0,47972152.0,46896105.0,ITA,Europe
154065.0,3500.0,1124299.0,1512562.0,847490.0,747570.0,45781.0,JAM,North America
33139504.0,71817.0,53504941.0,381502580.0,104658358.0,103302898.0,173541324.0,JPN,Asia
0.0,0.0,0.0,266953.0,84365.0,81882.0,73662.0,JEY,Europe
1746997.0,14122.0,16803235.0,10057975.0,4821579.0,4558313.0,682211.0,JOR,Asia
1497449.0,19068.0,11965068.0,20918681.0,10858101.0,10629063.0,2514071.0,KAZ,Asia
342874.0,5688.0,3728165.0,23311533.0,14300821.0,10931387.0,1782416.0,KEN,Africa
5012.0,18.0,0.0,219980.0,100900.0,81474.0,37606.0,KIR,Oceania
272866.0,3206.0,1846365.0,1837446.0,906858.0,825082.0,105506.0,OWID_KOS,Europe
662858.0,2570.0,8208880.0,8258614.0,3456328.0,3344818.0,1457468.0,KWT,Asia
206611.0,2991.0,0.0,3424522.0,1650456.0,1370744.0,0.0,KGZ,Asia
218012.0,758.0,1030237.0,11111066.0,5888649.0,5222417.0,0.0,LAO,Asia
975847.0,6255.0,7263566.0,2895716.0,1346184.0,1305976.0,529562.0,LVA,Europe
1231040.0,10819.0,4731376.0,5814699.0,2740227.0,2414223.0,660249.0,LBN,Asia
34790.0,723.0,459732.0,1309497.0,1004973.0,930337.0,161806.0,LSO,Africa
8065.0,294.0,139824.0,4460668.0,3903802.0,3730967.0,1987.0,LBR,Africa
507171.0,6437.0,0.0,3739158.0,2316327.0,1236102.0,186729.0,LBY,Africa
21387.0,89.0,90632.0,74288.0,26765.0,26461.0,22054.0,LIE,Europe
1302560.0,9579.0,8718186.0,4544175.0,1956836.0,1880176.0,943990.0,LTU,Europe
2285962.0,47927.0,0.0,266619413.0,198963172.0,164057008.0,18016187.0,OWID_LIC,0
97133340.0,1345767.0,0.0,4825396086.0,2241165605.0,2007908243.0,637319597.0,OWID_LMC,0
315778.0,1214.0,4299901.0,1374048.0,481934.0,462629.0,458672.0,LUX,Europe
3547.0,121.0,0.0,1797075.0,678927.0,640944.0,477204.0,MAC,Asia
67852.0,1421.0,451753.0,2575889.0,2243029.0,2166840.0,120325.0,MDG,Africa
88640.0,2896.0,589303.0,6919257.0,4950288.0,3945109.0,1832738.0,MWI,Africa
5041358.0,36957.0,60647556.0,72569074.0,28129340.0,27541073.0,17116838.0,MYS,Asia
