Country,Total_Cases,Total_Deaths,Total_Vaccinations
Wallis and Futuna,3427,7,0
Yemen,11945,2159,0
Zambia,342831,4055,0
Zimbabwe,263921,5663,0
=======,0,0,0
Country,total_cases,total_vaccinations,0
Afghanistan,209181,13603457,0
Africa,12515151,769812781,0
Albania,334336,0,0
Algeria,271431,0,0
Andorra,47866,0,0
Angola,105205,24174309,0
Anguilla,3904,24489,0
Antigua and Barbuda,9106,0,0
Argentina,10043308,114548471,0
Armenia,446819,0,0
Aruba,44026,174375,0
Asia,210401549,8985323611,0
Australia,11347698,0,0
Austria,5878713,0,0
Azerbaijan,828426,0,0
Bahamas,37491,0,0
Bahrain,705444,0,0
Bangladesh,2037773,354659926,0
Barbados,106645,381633,0
Belarus,994037,0,0
Belgium,4708273,29620722,0
Belize,70740,502178,0
Benin,27990,0,0
Bermuda,18799,0,0
Bhutan,62615,0,0
Bolivia,1192283,0,0
Bonaire Sint Eustatius and Saba,11797,0,0
Bosnia and Herzegovina,401575,0,0
Botswana,329662,3171667,0
Brazil,36997328,484988616,0
British Virgin Islands,7305,0,0
Brunei,277992,0,0
Bulgaria,1296450,4608477,0
Burkina Faso,22056,5856003,0
Burundi,53609,34493,0
Cambodia,138713,46003730,0
Cameroon,124328,4272224,0
Canada,4595042,0,0
Cape Verde,63240,0,0
Cayman Islands,31472,0,0
Central African Republic,15368,0,0
Chad,7675,6368186,0
Chile,5154016,0,0
China,2023904,3491077000,0
Colombia,6356468,0,0
Comoros,8998,0,0
Congo,25077,0,0
Cook Islands,7020,40854,0
Costa Rica,1199055,0,0
Cote d'Ivoire,88138,25263932,0
Croatia,1268666,5360084,0
Cuba,1112561,43614510,0
Curacao,45986,0,0
Cyprus,647031,0,0
Czechia,4604427,18615864,0
Democratic Republic of Congo,95646,12474117,0
Denmark,3402710,13145167,0
Djibouti,15690,385621,0
Dominica,15760,0,0
Dominican Republic,660533,16229237,0
Ecuador,1056578,39485025,0
Egypt,515698,104508139,0
El Salvador,201785,0,0
England,0,144754288,0
Equatorial Guinea,17229,0,0
Eritrea,10189,0,0
Estonia,614852,2109343,0
Eswatini,74199,830376,0
Ethiopia,499903,0,0
Europe,247611013,1376658873,0
European Union,183653481,937761917,0
Faeroe Islands,34658,0,0
Falkland Islands,1930,0,0
Fiji,68876,1552809,0
Finland,1461583,13196843,0
France,39640649,154284734,0
French Polynesia,77957,0,0
Gabon,48981,0,0
Gambia,12586,0,0
Georgia,1825598,0,0
Germany,38068912,192085880,0
Ghana,171167,0,0
Gibraltar,20420,0,0
Greece,5548487,22107768,0
Greenland,11971,0,0
Grenada,19680,0,0
Guatemala,1234843,20187207,0
Guinea,38267,9857575,0
Guinea-Bissau,8953,0,0
Guyana,73062,960133,0
Haiti,34143,0,0
High income,430320114,2799996205,0
Honduras,471557,17101012,0
Hong Kong,2876106,20681138,0
Hungary,2194969,0,0
Iceland,208999,0,0
India,44686676,2206327329,0
Indonesia,6734818,0,0
International,721,0,0
Iran,7567421,157785811,0
Iraq,2465545,0,0
Ireland,1703244,11110555,0
Isle of Man,38008,0,0
Israel,4795878,18641701,0
Italy,25547414,143751231,0
Jamaica,154065,0,0
Japan,33158158,381581415,0
Jordan,1746997,0,0
Kazakhstan,1497449,0,0
Kenya,342900,23359310,0
Kiribati,5013,219980,0
Kosovo,272905,1837446,0
Kuwait,663456,8258614,0
Kyrgyzstan,206633,3425209,0
Laos,218014,0,0
Latvia,975884,0,0
Lebanon,1231303,0,0
Lesotho,34790,1319497,0
Liberia,8065,0,0
Libya,507171,0,0
Liechtenstein,21387,74288,0
Lithuania,1303028,4544224,0
Low income,2286094,272291300,0
Lower middle income,97135095,4829656651,0
Luxembourg,315945,1374048,0
Macao,3513,1797075,0
Madagascar,67852,2652348,0
Malawi,88681,7159342,0
Malaysia,5041587,72569915,0
Maldives,185729,951511,0
Mali,32963,4792566,0
Malta,117338,1380226,0
Marshall Islands,15598,0,0
Mauritania,63667,4066473,0
Mauritius,295440,2614136,0
Mexico,7435066,0,0
Micronesia (country),23671,0,0
Moldova,603750,0,0
Monaco,16108,0,0
Mongolia,1007896,0,0
Montenegro,287772,0,0
Montserrat,1403,0,0
Morocco,1272411,55380717,0
Mozambique,233098,0,0
Myanmar,633903,0,0
Namibia,171121,981339,0
Nauru,5247,32157,0
Nepal,1001137,60976433,0
Netherlands,8602598,0,0
New Caledonia,80007,479745,0
New Zealand,2208558,0,0
Nicaragua,15627,12241350,0
Niger,9508,0,0
Nigeria,266463,0,0
North America,122131197,1141657991,0
North Korea,1,0,0
North Macedonia,346733,0,0
Northern Ireland,0,4483438,0
Norway,1478767,0,0
Oceania,13968654,80906940,0
Oman,399449,0,0
Pakistan,1576736,0,0
Palau,5988,0,0
Palestine,703228,0,0
Panama,1030658,8756680,0
Papua New Guinea,46792,717736,0
Paraguay,807453,9568675,0
Peru,4484769,87754399,0
Philippines,4075757,170366733,0
Poland,6406799,57903994,0
Portugal,5566708,28106464,0
Qatar,493639,7606840,0
Romania,3335131,0,0
Russia,21892777,185641260,0
Rwanda,133170,0,0
Saint Helena,2166,0,0
Saint Kitts and Nevis,6596,0,0
Saint Lucia,29882,0,0
Saint Pierre and Miquelon,3452,0,0
Saint Vincent and the Grenadines,9589,73374,0
Samoa,16607,452831,0
San Marino,23536,0,0
Sao Tome and Principe,6281,0,0
Saudi Arabia,829095,0,0
Senegal,88917,2928086,0
Serbia,2487935,0,0
Seychelles,50665,0,0
Sierra Leone,7760,6820857,0
Singapore,2222006,0,0
Sint Maarten (Dutch part),0,67068,0
Slovakia,2664186,0,0
Slovenia,1326369,0,0
Solomon Islands,24575,0,0
Somalia,27324,0,0
South Africa,4061085,0,0
South America,67835408,952203708,0
South Korea,30469702,0,0
South Sudan,18368,3062073,0
Spain,13755956,105459628,0
Sri Lanka,672024,0,0
Sudan,63787,0,0
Suriname,82227,0,0
Sweden,2697159,25655479,0
Switzerland,4411059,16926060,0
Syria,57463,0,0
Taiwan,9970937,66971090,0
Tajikistan,17786,0,0
Tanzania,42823,38911619,0
Thailand,4727831,0,0
Timor,23418,2011703,0
Togo,39367,0,0
Tonga,16801,202720,0
Trinidad and Tobago,188737,0,0
Tunisia,1150793,13243761,0
Turkey,17042722,0,0
Turks and Caicos Islands,6551,0,0
Tuvalu,2805,0,0
Uganda,170478,0,0
Ukraine,5693260,0,0
United Arab Emirates,1051336,0,0
United Kingdom,24341615,0,0
